Subject,Term,Parents,Descr,ScopeNote,Type,ExtraType
http://vocab.getty.edu/aat/300404583,food service,"food service functions, <functions by specific context>, ... Activities Facet",,"The provision, serving, or preparation of food, particularly regarding the industry concerned with this.",Concept,
http://vocab.getty.edu/aat/300214953,<coverings for food>,"<coverings and hangings by function>, <coverings and hangings by specific type>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300201098,meat grinders,"grinders (culinary tools), <food mills, grinders and presses>, ... Objects Facet",,"Mechanical grinders operated by crank handle or electricity used to cut, chop, or mince meat or vegetables.",Concept,
http://vocab.getty.edu/aat/300215752,<culinary equipment for cooling food>,"culinary equipment, <equipment by context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198761,<accessory containers for food service>,"<containers for serving and consuming food>, culinary containers, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198758,<containers for preparing food>,"culinary containers, <containers by function or context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300199784,<culinary equipment for preparing and cooking food>,"culinary equipment, <equipment by context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198759,<containers for cooking food>,"culinary containers, <containers by function or context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300229645,<vessels for cooking food>,"<containers for cooking food>, culinary containers, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198938,<vessels for serving and consuming food>,"<containers for serving and consuming food>, culinary containers, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300178900,food stands,"stands (mercantile structures), mercantile buildings, ... Objects Facet",,"Designates roadside eateries serving a limited menu at low prices, generally over a counter or through a window; may range from slight architectural structures to freestanding buildings.",Concept,
http://vocab.getty.edu/aat/300435678,<temporary alphabetical list: vessels for cooking food>,"<vessels for cooking food>, <containers for cooking food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300217765,food tongs,"<utensils for serving food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,Tongs of various forms used for handling and serving food.,Concept,
http://vocab.getty.edu/aat/300209460,food mills,"culinary mills, <food mills, grinders and presses>, ... Objects Facet",,"Hand-operated kitchen devices that force foodstuffs through a pierced grate or grill, used for puréeing fruits and vegetables.",Concept,
http://vocab.getty.edu/aat/300200051,<culinary equipment for serving and consuming food>,"culinary equipment, <equipment by context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198760,<containers for serving and consuming food>,"culinary containers, <containers by function or context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300425843,food plant,"<temporary alphabetical list: industrial structures>, industrial structures, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300038952,kitchen safes,"food cupboards (general cupboards), cupboards (case furniture), ... Objects Facet",,"Kitchen cabinets in which food is stored, having a ventilated front, generally of pierced tin or sometimes of screening or cloth.",Concept,
http://vocab.getty.edu/aat/300227004,<forks for serving food>,"<utensils for serving food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300200039,<utensils for consuming food>,"<culinary equipment for serving and consuming food>, culinary equipment, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198762,<containers for storing or transporting food>,"culinary containers, <containers by function or context>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300039218,livery cupboards,"food cupboards (general cupboards), cupboards (case furniture), ... Objects Facet",,"Freestanding cupboards, particulary with reference to cupboards in use in the mid-16th century in England for freestanding cupboards used for the storage of food and drink, generally in the form of a two-tier cupboard with pierced or spindle doors for ventilation. Use ""aumbries"" with reference to similar forms made before, after, or during the Medieval period.",Concept,
http://vocab.getty.edu/aat/300200040,<utensils for serving food>,"<culinary equipment for serving and consuming food>, culinary equipment, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300404581,food service functions,"<functions by specific context>, functions (activities), ... Activities Facet",,Functions concerning the industry of food.,Concept,
http://vocab.getty.edu/aat/300005018,food storage structures,"agricultural buildings, agricultural structures, ... Objects Facet",,Agricultural structures built for storing food. ,Concept,
http://vocab.getty.edu/aat/300199907,pushers (food pushers),"<utensils for infants>, <utensils for consuming food>, ... Objects Facet",,"Utensils having a handle and a concave, blunt pushing surface designed for use by toddlers to push food onto their forks or spoons. Popular in the 19th and early 20th century, often collected in a set with a pap spoon, baby spoon, and a baby fork.",Concept,
http://vocab.getty.edu/aat/300208278,mixers (culinary equipment),"<culinary tools and equipment for mixing>, <culinary equipment for preparing and cooking food>, ... Objects Facet",,"Culinary utensils or appliances having one or more beaters and used in mixing, beating, or creaming food. For tools used for blending food consisting of a container with a fixed propellerlike blade, use ""food processors.""",Concept,
http://vocab.getty.edu/aat/300215745,drying trays,"<containers for preparing food>, culinary containers, ... Objects Facet",,"Trays used for drying fruits or nuts; traditionally made of natural fibers or wooden slats woven with open spaces for air circulation, and may have a handle.",Concept,
http://vocab.getty.edu/aat/300425851,food processing equipment,"culinary equipment, <equipment by context>, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300207795,pastry brushes,"cooking utensils, <culinary tools and equipment for cooking>, ... Objects Facet",,"Small flat brushes used to coat pastry with butter, eggs, or the like.",Concept,
http://vocab.getty.edu/aat/300207611,<knives for serving food>,"<utensils for serving food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300005191,fast food restaurants,"restaurants, <eating and drinking buildings>, ... Objects Facet",,"Restaurants optimized for the fast filling of orders, typically focusing on take-away food and offering minimal or no table service. There is usually a limited menu; food is often cooked in bulk in advance and kept hot; and the restaurant usually belongs to a franchise operation that dictates both the menu and design of the restaurant.",Concept,
http://vocab.getty.edu/aat/300425864,food service sets,"<temporary alphabetical list: object groupings>, object groupings, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300006335,food processing plants,"processing plants, <factories by function>, ... Objects Facet",,"Facilities housing operations by which raw foodstuffs are made suitable for consumption, cooking, or storage.",Concept,
http://vocab.getty.edu/aat/300249925,food cupboards (general cupboards),"cupboards (case furniture), case furniture, ... Objects Facet",,Small rooms or furniture pieces for storing food.,Concept,
http://vocab.getty.edu/aat/300198936,<vessels for preparing food>,"<containers for preparing food>, culinary containers, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300042973,dishes (vessels for food),"<vessels for serving and consuming food>, <containers for serving and consuming food>, ... Objects Facet",,"Any of various broad, relatively shallow, open vessels with a flat bottom, concave sides, and nearly level rim, sometimes having a cover; made of pottery, glass, metal, wood or another material and used especially for holding or serving food. In modern usage it is typically reserved for vessels at a dining table used for serving or holding food other than the round, flat or very shallow object used by the person dining, which is called a ""plate""; however, formerly the plate was also called a ""dish.""",Concept,
http://vocab.getty.edu/aat/300208992,<culinary tools for handling food or culinary equipment>,"<culinary equipment for preparing and cooking food>, culinary equipment, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300435675,<temporary alphabetical list: utensils for consuming food>,"<utensils for consuming food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300226983,<spoons for serving food>,"<utensils for serving food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300199939,chopping knives,"<culinary tools and equipment for cutting>, <culinary equipment for preparing and cooking food>, ... Objects Facet",,"Tools with one to four blades connected to a handle used to mince and chop meat, vegetables, or other foods. Blades may be straight or curved, the latter for use in a chopping bowl or tray.",Concept,
http://vocab.getty.edu/aat/300435677,<temporary alphabetical list: utensils for serving food>,"<utensils for serving food>, <culinary equipment for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300201096,"<food mills, grinders and presses>","<culinary equipment for preparing and cooking food>, culinary equipment, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300425845,food preparation accessories,"<temporary alphabetical list: vessels for cooking food>, <vessels for cooking food>, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300393161,food additive,"additive (material), <materials by function>, ... Materials Facet",,"Substances added to food for non-nutritional purposes, but for purposes such as to preserve the food, enhance flavor, or to improve or retain appearance. Additives such as salt, spices, and sulfites have been used since ancient times to preserve foods and make them more palatable. With the increased processing of foods from the 20th century onwards, there came a need for both the greater use of and new types of chemical food additives.",Concept,
http://vocab.getty.edu/aat/300208281,food processors,"<culinary equipment for preparing and cooking food>, culinary equipment, ... Objects Facet",,"Culinary appliances with interchangeable blades or other rotating tools within a closed container into which food is inserted for mixing, slicing, shredding, mincing or otherwise processing at various speeds.",Concept,
http://vocab.getty.edu/aat/300198969,<vessels for storing or transporting food>,"<containers for storing or transporting food>, culinary containers, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300198557,veilleuses (culinary equipment),"<culinary devices for cooking and heating>, <culinary tools and equipment for cooking>, ... Objects Facet",,"Utensils, usually ceramic, and often decorative, in several parts used for keeping warm the contents of a bowl, teapot, or cup which rests on a hollow pedestal containing a heat source.",Concept,
http://vocab.getty.edu/aat/300201100,food choppers,"<culinary tools and equipment for cutting>, <culinary equipment for preparing and cooking food>, ... Objects Facet",,"Tools used to mince, chop, or shred food.",Concept,
http://vocab.getty.edu/aat/300435680,<temporary alphabetical list: vessels for serving and consuming food>,"<vessels for serving and consuming food>, <containers for serving and consuming food>, ... Objects Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300189476,<food- and beverage-making processes and techniques>,"<processes and techniques by specific type>, Processes and Techniques (hierarchy name), Activities Facet",,,GuideTerm,
http://vocab.getty.edu/aat/300425815,food basket,"<temporary alphabetical list: vessels for serving and consuming food>, <vessels for serving and consuming food>, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425827,food dome,"<temporary alphabetical list: vessels for serving and consuming food>, <vessels for serving and consuming food>, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300254496,food,"<materials by function>, materials (substances), ... Materials Facet",,"Any material that can be digested or absorbed by the body of a human or other animal and used as a source of energy or some essential nutrient, to build and replace tissue, or to relieve hunger.",Concept,
http://vocab.getty.edu/aat/300425814,food auger,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425816,food beater,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425818,food caddy,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425819,food carrier,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425820,food cask,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425822,food container opener,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425823,food cover,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425824,food cutting tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425825,food decorating tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425826,food dehydrator,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425828,food dryer,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425829,food extracting tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425831,food grinding tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425832,food handling tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425833,food heat lamp,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425836,food mixing tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425837,food mold,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425838,food mortar,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425839,food packaging tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425840,food packing machine,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425841,food paddle,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425842,food pestle,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425846,food preparation board,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425847,food preparation container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425848,food preparation equipment,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425850,food processing container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425852,food processing tank,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425853,food processing vat,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425856,food sample,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425857,food scoop,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425858,food screen,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425859,food separating tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425860,food service accessories,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425861,food service cart,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425862,food service case,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425863,food service dispenser,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425866,food service tray,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425867,food shaper,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425868,food slicer,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425869,food smoker,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425870,food sorter,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425872,food storage bag,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425873,food storage basket,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425874,food storage bin,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425875,food storage bowl,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425876,food storage box,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425877,food storage bucket,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425878,food storage cabinet,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425879,food storage can,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425880,food storage canister,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425881,food storage chest,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425882,food storage cover,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425883,food storage crock,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425884,food storage cupboard,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425885,food storage equipment,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425886,food storage jar,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425887,food storage jug,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425888,food storage keg,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425889,food storage rack,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425890,food storage tank,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425891,food storage tub,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425892,food storage vat,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425893,food warmers,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,"Devices or surfaces that are designed to keep food or drinks warm over a period of time, usually as a prelude to being served, as at a buffet.",Concept,
http://vocab.getty.edu/aat/300425894,food waste container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425895,food wrap,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/tgn/2147046,Banquet Foods Reservoir,"Jackson, Ohio, ... World",,,AdminPlaceConcept,reservoirs (water distribution structures)
http://vocab.getty.edu/tgn/2518965,Mixes Food Creek,"Pennington, South Dakota, ... World",,,PhysPlaceConcept,creeks (bodies of water)
http://vocab.getty.edu/tgn/7531403,Shirkat Fāyn Fūdz,"Cairo, Egypt, ... World",,,AdminPlaceConcept,buildings (structures)
http://vocab.getty.edu/tgn/8051491,CH Food Industries,"Northwest Frontier, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/tgn/7930268,Mārvi Enterprises Food Grain Godowns,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,industrial centers (inhabited places)
http://vocab.getty.edu/tgn/7962619,MF Food Industries,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/tgn/7965453,Paradise Food Industries,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/ulan/500289221,"Great Britain. Department for Environment, Food & Rural Affairs",Corporate Bodies,"British department, contemporary","Takes over responsibility for agriculture and the food industry from the former Ministry of Agriculture Fisheries and Food; environment, rural development, countryside, wildlife and sustainable development responsibilities of the former Department of the Environment, Transport and the Regions; and responsibility for animal welfare and hunting from the Home Office.",GroupConcept,departments (organizational units)
http://vocab.getty.edu/ulan/500455625,Institut européen d'histoire de l'alimentation,Unidentified Named People and Firms,corporate body,,PersonConcept,corporate bodies
http://vocab.getty.edu/ulan/500458863,Institut européen d'histoire et des cultures de l'alimentation,Unidentified Named People and Firms,corporate body,,PersonConcept,corporate bodies
